Date,Opening Price,Highest Price,Lowest Price,Closing Price,Direction
21-02-2017,848.840027,857.97998,847.25,856.440002,up
22-02-2017,856.950012,858.429993,852.179993,855.609985,down
23-02-2017,857.570007,860.859985,848,852.190002,down
24-02-2017,844.690002,845.809998,837.75,845.23999,down
27-02-2017,842.380005,852.5,839.669983,848.640015,up
28-02-2017,851.450012,854.090027,842.049988,845.039978,down
01-03-2017,853.049988,854.830017,849.01001,853.080017,up
02-03-2017,853.080017,854.820007,847.280029,848.909973,down
03-03-2017,847.200012,851.98999,846.27002,849.880005,up
06-03-2017,845.22998,848.48999,841.119995,846.609985,down
07-03-2017,845.47998,848.460022,843.75,846.02002,down
08-03-2017,848,853.070007,846.789978,850.5,up
09-03-2017,851,856.400024,850.309998,853,up
10-03-2017,857,857.349976,851.719971,852.460022,down
13-03-2017,851.77002,855.690002,851.710022,854.590027,up
14-03-2017,853.549988,853.75,847.549988,852.530029,down
15-03-2017,854.330017,854.450012,847.109985,852.969971,up
16-03-2017,855.299988,855.5,850.51001,853.419983,up
17-03-2017,853.48999,853.830017,850.640015,852.309998,down
20-03-2017,851.51001,857.799988,851.01001,856.969971,up
21-03-2017,858.840027,862.799988,841.309998,843.200012,down
22-03-2017,840.429993,849.369995,839.049988,848.059998,up
23-03-2017,848.200012,850.890015,844.799988,847.380005,down
24-03-2017,851.679993,851.799988,843.530029,845.609985,down
27-03-2017,838.070007,850.299988,833.5,846.820007,up
28-03-2017,851.75,858.460022,850.099976,856,up
29-03-2017,859.049988,876.440002,859.02002,874.320007,up
30-03-2017,874.950012,877.059998,871.659973,876.340027,up
31-03-2017,877,890.349976,876.650024,886.539978,up
03-04-2017,888,893.48999,885.419983,891.51001,up
04-04-2017,891.5,908.539978,890.280029,906.830017,up
05-04-2017,910.820007,923.719971,905.619995,909.280029,up
06-04-2017,913.799988,917.190002,894.48999,898.280029,down
07-04-2017,899.650024,900.090027,889.309998,894.880005,down
10-04-2017,899.630005,908.51001,899,907.039978,up
11-04-2017,907.039978,911.23999,897.5,902.359985,down
12-04-2017,903.090027,904.090027,895.25,896.22998,down
13-04-2017,891.450012,894.969971,884.48999,884.669983,down
